Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
GSM4818539,0.0476258809962215,0,0.0158802155186296,0.0829738419309846,0,0,0.0574942116392113,0.00224798420161181,0,0,0,0.0714147243792827,0,0.0496983383452543,0.160638553636393,0.121639034893321,0.244963530408583,0,0.133069812592103,0,0,0.0123538714584043,0.015,0.425358036010952,0.902332875778807
GSM4818540,0.0902135869587036,0,0,0.0250754723313771,0,0.0118132456499849,0.115997456393164,0,0,0.129970667508636,0,0,0,0.0486571032954059,0.0249196065478775,0.197019152434926,0.134966770748686,0,0.129009007060165,0,0,0.0923579310710733,0.256,0.147275903574645,1.00360959975546
GSM4818541,0.0484809952308048,0,3.94486690066067e-05,0.0770999707943616,0,0,0.173685932054169,0,0,0.0727375398494404,0,0.00742940352278115,0,0,0.0523394866859487,0.140284403435309,0.265501901288343,0,0.0984280135404184,0,0.00366217323114719,0.0603107316982705,0.014,0.427932268343579,0.908988204986818
GSM4818542,0.0166334056255083,0,0.0911292115212946,0.189251653446084,0,0,0.0180161854469863,0,0.0102476553767271,0.0537185948029887,0,0.013308550524245,0,0,0.0141262681368176,0.146236452351057,0.140719930514171,0,0.282684059433546,0,0.00259394201622199,0.0213340908043517,0.131,0.217926970062555,0.97895698678075
GSM4818543,0.0412330791940284,0,0.150250207452815,0.0545164954835035,0,0,0.0697216878731895,0.00832847726915536,0,0.083485998744439,0,0,0,0.0163455004174376,0.0393268835573812,0.256204927646198,0.112204247051318,0,0.070433692551442,0,0,0.0979488027590924,0.013,0.447392333198595,0.903513612811159
GSM4818544,0.0444399687936223,0,0,0.0197039021488289,0,0.0702836132634891,0,0,0.0399395613557408,0,0,0.0220414670857231,0,0,0.0186317848416913,0.0800639753552241,0.510939926652596,0,0.145656815178251,0.0335901013084482,0.0110093101743325,0.00369957384205244,0.36,0.102466454705456,1.00775928625581
GSM4818545,0.103159185295932,0,0.00372004735558693,0.0100865721334045,0.0581486305578184,0.00634926215717062,0.000826782418716095,0,0,0.043161490234653,0.00655834467681673,0,0,0.0191650036473312,0.00740869690456949,0.114479527181683,0.258935518018583,0,0,0.082427675862711,0.168187016201875,0.11738624735315,0.024,0.380414416299057,0.925524002946001
GSM4818546,0.0350079441844479,0.00311367112257275,0.169703578034074,0.101392111925755,0,0.034061893553305,0.117181397099897,0.0457970089334055,0,0.0421873078234216,0,0.00940953527544507,0,0,0.0577902225295469,0.176811417352521,0.0704479185926754,0.00040968800117808,0.0398258435564709,0,0.0078395223046026,0.0890209397106811,0.174,0.192798137762496,0.987698838270643
GSM4818547,0.00809479542224033,0,0.188896431418347,0.0524126121884059,0,0.00532135531459317,0.0827380684844751,0,0.00133808663432143,0.110126057371301,0,0.0178934071685185,0,0,0.0739570331808876,0.143947902032073,0.147580864907602,0,0.0753711501810099,0,0.0426500246160983,0.049672211080127,0.131,0.217010370888645,0.979436192989762
GSM4818548,0.0393787552910154,0,0,0.0521104264591491,0,0,0.0687553463355616,0,0.0528655610149957,0.0723618295952321,0.0206300677090053,0,0,0.217560620732491,0.0174956923567851,0.108290716649863,0.0936302187006123,0,0.0297794006220195,0.122508265607886,0.00262737823352921,0.102005720691854,0.036,0.336972751128034,0.948415856922126
GSM4818549,0.023867304512314,0,0.0546073007375576,0.00575706103710704,0,0.0554779959380902,0.113408443786467,0,0,0.110796781653892,0,0.0344575465604848,0,0,0.0317503980140757,0.289633462135909,0.0711214796069075,0,0.0883290693794746,0,0,0.12079315663772,0.084,0.257488992793416,0.969536574685511
GSM4818550,0.0164763421813236,0,0.00706388413599162,0.0129778949930609,0,0.0200447520368217,0,0.015917120417745,0.0103516146672646,0.118031522790349,0,0.094883040512906,0.0151597781073884,0.242911980348585,0.0405133733351362,0.13307424750011,0,0.0271047708839966,0.120342603498984,0.0464556149374339,0.0786914596529029,0,0.027,0.368234718355545,0.936952899330896
GSM4818551,0.027302467885915,0,0.237661302346206,0.0763208023687291,0,0.0232213174178337,0.114696891456374,0,0,0.0660447456546653,0,0,0,0.0379960793719732,0.0399324125186749,0.114521890036969,0.136553961532767,0,0.0527370690940937,0.00179170880071144,0,0.0712193515150877,0.074,0.27103308722896,0.961482276686447
GSM4818552,0.00379894339623006,0,0.0266172531749146,0.104031589019149,0,0,0.00116283221642242,0,0.0175181081749355,0.0512894741659966,0,0.0500720653161654,0,0.0417639325580291,0.0547777836730822,0.16257837940713,0.310893678503933,0,0.117884374014325,0,0.0251303669635057,0.0324812194161805,0.026,0.371640899875515,0.928478832415319
GSM4818553,0.000293050129545889,0,0.186473760079405,0.0160572052484676,0,0,0.0453536445312048,0,0.0384499532860242,0.0579327251325202,0,0.0109389950101959,0,0.18677715590134,0.0113139266618672,0.27543382767864,0,0.0356534766857887,0.0859212925437535,0,0,0.0494009871112472,0.003,0.558438685792405,0.842481220886943
GSM4818554,0.0143442572355363,0,0.0920524319001025,0.0615808615145519,0,0.0170362551974384,0.103224637501512,0,0,0.192436118860355,0,0,0,0,0.0195436887564838,0.186908718247386,0,0.0393826696559758,0.12420750521181,0,0.0647847595593492,0.0844980963594996,0.198,0.175873986706812,0.997911656157626
GSM4818555,0,0.132539083879503,0,0.109752222647563,0,0,0,0,0.06285099498161,0.0592230429047333,0,0,0,0,0.0723957883389656,0.049080036097294,0.33869617936667,0,0.0544530456627958,0.0648669618139928,0.0213293260372039,0.0348133182696684,0.343,0.11065711928044,1.01316102466825
GSM4818556,0.0579349020102027,0,0,0.0896374019652191,0,0.0854247165834775,0,0,0.0329968155698376,0,0,0.0783533343544435,0,0.0754494491179556,0.036816632530723,0.18834464756471,0.107530312790036,0.116819400811739,0,0.0453592722194568,0.0510678079716725,0.0342653065105264,0.098,0.245399333463182,0.984274538053591
GSM4818557,0.0297806322734953,0,0,0,0.112522482602411,0,0.157142654216836,0,0,0.148058593572862,0.0294506543165173,0,0,0.14748754160234,0.106423367039726,0.0617113436467608,0,0.0220850730488976,0.0568070996236036,0.0816199318755368,0.0396033486099175,0.00730727757109604,0.032,0.343662923219882,0.947581804444701
GSM4818558,0.0286105671172586,0,0,0.140942946709392,0,0.0158388997548481,0.0502721565106915,0,0.0297470634927467,0.069900299071428,0,0.11474927916418,0,0,0.0723917422690456,0.149934681327623,0.127039720332272,0,0,0.0670840654880812,0.115916262590524,0.0175723161719075,0.246,0.152758244878418,1.04268110303058
GSM4818559,0.040676493755268,0,0,0.0405748138601322,0,0.0635511201316505,0.0254102207479626,0.0722843377989252,0,0,0,0,0,0,0.0876899950274567,0.170953321229253,0.186689857167333,0,0,0.16616911973718,0.00106651865340185,0.144934201891437,0.015,0.419570715970797,0.904962772560633
GSM4818560,0.0272440142699698,0,0.0234272283585172,0,0.0181314577936049,0.0113986997215664,0.0755018641153615,0,0,0.153896671635896,0,0.0102803409489074,0,0,0.0108037620938046,0.146360057594922,0.202682775853497,0,0.0321153795251456,0.104381743711125,0,0.183776004377682,0.184,0.186500622643091,1.00070209208951
GSM4818561,0.0583602643612567,0,0.018506556341442,0.0222469236959423,0.0417550573944206,0,0.0170530964339246,0,0,0.131786946986031,0,0.0168338313457016,0,0.250387663403445,0,0.0665445677273687,0,0.0578015642578307,0.184151412370127,0.0814459794893816,0,0.0531261361931283,0.0669999999999999,0.28119423871713,0.972294422914632
GSM4818562,0,0.00556268702672192,0.0649498512916405,0.159528151087012,0,0.00277293948238065,0.077892021678243,0.00336529248804334,0,0.141930754407336,0,0.0873864510469921,0,0.011940535929778,0.0681684992102758,0.0702220987722275,0.0579849928423229,0.00299780345421205,0.203596017910343,0,0.0312150862434422,0.0104868171290291,0.05,0.314910638374146,0.958334880462216
GSM4818563,0.0313376822509273,0,0,0.0665426362271955,0.0971870782125191,0.012109818471116,0.0521494019817166,0,0,0,0.000489635348693941,0,0.0700003485206052,0.0395288747601745,0.00227816487245231,0.148766353329408,0.0878376591504793,0.0342676703895533,0.0826931422546034,0.0328971996291908,0.186484637802098,0.0554296967992671,0.107,0.235022468258529,0.974690045183325
GSM4818564,0.043672736508225,0,0,0.16612877149128,0,0,0.12752420517936,0.0285765091715052,0.0204274656768865,0,0,0,0,0,0.0428766709594996,0.121804113667797,0.279725076700796,0,0,0.0356613005140683,0.0716146331943368,0.0619885169362452,0.363,0.100794707163047,1.01665262765531
GSM4818565,0,0.00410486911863912,0.63015010334832,0.0515143386085115,0.00887285605917426,0,0.0567676719120347,0.0147540214538677,0,0.00708937917152928,0.0110100718194046,0,0,0,0.0232583872645239,0.0706470836434216,0.072403937563141,0,0.0185798785446209,0,0,0.0308474014928113,0.00900000000000001,0.476652994686013,0.896723880417632
GSM4818566,0.0363970961264888,0,0,0.0709711075405107,0.0472092564100601,0,0.138063086265253,0,0,0,0.0348702507431205,0,0,0.0237764483697737,0.10908207463611,0.108359771213588,0.268813241626199,0,0,0.0409612511115935,0.0708858602965932,0.0506105556607089,0.014,0.437959243090546,0.89883894904345
GSM4818567,0.00233386093331715,0,0.0326209373172886,0.0559965234116604,0,0.0627479868789709,0.0609367225489461,0.0175987272659039,0,0.0551449464583295,0,0.0974544569534389,0,0.0694904907687797,0.087780173146215,0.090896967666527,0.159623854903037,0,0,0.108000159921994,0.0993741918255922,0,0.021,0.392771771303048,0.921098211697579
GSM4818568,0.0262936372234616,0,0,0.151942100968507,0,0,0.0287169583305531,0,0.00177579871283108,0.24326261774742,0,0.107329371829014,0,0,0.0653370429277609,0.0580754423491549,0.147705001505276,0,0.109639121006566,0,0.0380963992494895,0.0218265081499662,0.028,0.365507832202212,0.947778395273985
GSM4818569,0.00740948483107605,0,0,0.0088971855808406,0,0,0,0,0.0132775146829343,0.0339059714895095,0,0.0161111445837013,0,0,0,0.136464947116105,0.344215052443976,0.105471412981753,0.1595493817218,0.0717266936108625,0.0413579392372269,0.061613271720214,0.036,0.337957780915321,0.942529069169245
GSM4818570,0.0322400468164318,0,0,0.145416600229497,0,0.0358946978328934,0.134492839706729,0,0.00107197400122568,0,0.0361688476520658,0,0,0.163234429913232,0.176820641779812,0.0531671728572803,0.0595744642830889,0.000527489931538971,0.127166329283274,0,0,0.0342244657129321,0.028,0.364678717439889,0.938250155145624
GSM4818571,0.0492632913490622,0,0.0197285004207484,0.0242427078155555,0,0,0.180194989440638,0,0,0.0767480502979484,0.00203443148147567,0,0,0.118189945915307,0.0445333122264125,0.204180950976312,0,0,0,0.135263898797024,0,0.145619921279517,0.018,0.409325105956049,0.91209641794574
GSM4818572,0.0326768751711035,0,0,0.0177236767411214,0,0.11808429092219,0.0188037668241575,0.0374844242804041,0,0,0,0.0479472618886265,0,0.0257390876102686,0.146603908132747,0.0616032136281019,0.332017234783496,0,0.0106852233016856,0.125856455245587,0,0.0247745814705101,0.014,0.43364427042451,0.898422269897886
GSM4818573,0.0430922612502966,0,0,0,0,0.15436676486074,0.0840072179769398,0,0,0.136550206939055,0,0.0281977319177933,0,0,0.0220173332565897,0.0790663883564959,0.165971690689798,0.0623511802442017,0,0.20040576807296,0.0225173817496784,0.00145607468545066,0.142,0.209534931228307,1.00776513722035
GSM4818574,0.0285515990660891,0,0,0.0918332427771358,0,0,0.0175586618798884,0,0.0620412807041542,0.0493045240858666,0,0.0302740479314858,0,0,0.100476893943682,0.136587603457472,0.180970876601807,0,0.234683839398313,0,0.0420281770605991,0.0256892530935067,0.019,0.404434217463281,0.91527895672618
GSM4818575,0.0367712859774068,0,0,0,0.0257307311614085,0,0.071150945999149,0,0,0.165860237854872,0,0.0190773543719533,0,0,0.0491046835322818,0.173348538539633,0.0546042916563929,0,0.324083012431071,0.024751039771104,0.0144828307606684,0.0410350479440585,0.052,0.310251080178526,0.949300035955208
GSM4818576,0.113787241730599,0,0.101019208030132,0.104130135593749,0,0,0.101046272489243,0.0680968095181403,0,0.0349377157878895,0,0.0226534823932483,0,0.0613946671788226,0.104425941572474,0.134968808450445,0.0788232171034531,0,0.0127000709827587,0,0.050940600852744,0.0110758283163003,0.019,0.403744132648232,0.91234806039987
GSM4818577,0.0281947534882395,0,0.0826958055608675,0.0394506743552883,0,0,0.0571380578606025,0.00118425684529602,0,0.0668294718379996,0,0.0373438778734113,0,0.226281904990604,0.111137769137938,0.181318573048846,0,0.025054220170764,0.108718366884104,0,0,0.0346522679460394,0,0.605986581387191,0.803210367797886
GSM4818578,0.0504183761086645,0,0.146545183523686,0.138689814692263,0,0,0.0737385450376461,0,0,0.0832867193237874,0,0,0,0,0.141305147859539,0.198622060827981,0.0716285089930397,0,0,0.0334123262223566,0.0380231337305727,0.0243301836804646,0.001,0.576897779159034,0.828781703433599
GSM4818579,0,0.0194277114615293,0.215294847325589,0.0368738572719065,0,0,0.0753548352227619,0,0,0.125998365064441,0,0.0170090226086238,0,0.020039686315886,0.0291026386668225,0.20476598030874,0.133443114441455,0.00359264722461025,0.0491258040026294,0,0,0.0699714900850054,0.0580000000000001,0.295077309830302,0.954211478922958
GSM4818580,0.0398664672938312,0,0,0.0863350916988393,0,0.0174034370665514,0.00338322701213218,0,0.111810931137808,0.064170769619754,0,0.00274230032487497,0,0,0.10072977408804,0.115310211375063,0.219343158717574,0,0,0.129267935818101,0.027833174403044,0.0818035214443858,0.0629999999999999,0.28609653259129,0.962306228277757
GSM4818581,0.0342344123801255,0,0.00222203423150684,0.0267757668133712,0,0.0713147730278193,0.0358684529654177,0,0,0.151584573532941,0,0.0790421847842844,0,0,0.0477251230363333,0.151353930966199,0.218436278770201,0,0,0.0830563525931126,0.0673729363962326,0.0310131805024555,0.02,0.396952648250898,0.91617151307961
GSM4818582,0.00656876066742513,0,0.270371370715998,0.0828591531063559,0,0,0.111531054977436,0.0236076165043599,0,0.00348650139844661,0,0.0178738254212923,0,0,0.0896953028791269,0.0620788136602688,0.291243528152299,0.00474164696381109,0,0.00449008955635026,0.00395154835036382,0.0275007876464655,0.018,0.40753748361667,0.917513748558681
GSM4818583,0.00704834994830235,0,0.267145581768286,0.0623426916671168,0,0.0126367979841862,0.0383433271133145,0.010900928628764,0,0.0161501405057295,0,0.0340503760102548,0,0.179932895835162,0.0330004466669085,0.154667682321019,0.034835146721117,0,0.0592921706796532,0,0,0.0896534641501859,0.00600000000000001,0.509232677484616,0.869687476335572
GSM4818584,0,0.105410004882792,0,0.0210845473988887,0,0.0256505734005389,0.00168427112991506,0,0.0426603590064236,0.1367017233017,0,0.0821432663857876,0,0,0.0448608148549259,0.154504502628486,0.0449146143792112,0,0.317380373110511,0,0.00652553612549628,0.0164794133953244,0.317,0.12173906570336,1.02121585644816
GSM4818585,0.0039775894054536,0,0,0,0.0176041363112487,0.00776546190822008,0,0,0,0.0371162181299555,0.0101189584351006,0,0.0591501012864383,0.267756014315179,0.0285307534959448,0,0.155556122083512,0,0,0.208870850719615,0,0.203553793909332,0.003,0.555926477749356,0.829202276850506
GSM4818586,0.0185676280858296,0,0.228805559427077,0.040948952826298,0,0.0927833042848052,0.0605547579613255,0.0427408390375331,0,0.0401100373149623,0,0.0223515523735129,0,0,0.00747683622227639,0.069176155068031,0.169072085148686,0.0790387340435436,0,0.0592632644836645,0.0516937253631744,0.0174165683592797,0.182,0.188000060133212,0.988361699817343
GSM4818587,0.0743977865547703,0,0,0.114926083448347,0,0,0,0.0248016767711983,0,0.019591366779202,0,0.0872735748808962,0,0.0299825119273842,0.178173489050286,0.0669946335202433,0.221139649532882,0,0.124646186872437,0,0.0247548167696856,0.0333182238926676,0.013,0.451529654349629,0.890151864509375
GSM4818588,0.00132175188213086,0,0.10958804021207,0.0698608362509312,0,0,0.112381155349322,0.0261178935385381,0,0.00503440184823669,0,0.0784620787748286,0,0,0.081243201648317,0.141389129879954,0.202580192559096,0,0.116768755737949,0.00736220364035138,0.0461967970308391,0.00169356164743694,0.00800000000000001,0.486227035064461,0.881953109639174
GSM4818589,0.00661492712515033,0,0.339964485744899,0.162294404817047,0,0,0.018247889171332,0.0781394516845899,0,0,0,0.0225555403149281,0,0,0.0315543203656678,0.107316843872109,0.167932152817732,0,0.00714887343147403,0.00203961575608488,0.0195066262180607,0.0366848686809241,0.36,0.102319342282797,1.01313697928997
GSM4818590,0.0236133899247479,0,0.135841270206766,0.01661481005069,0,0.0294605583559371,0.0712620543355665,0.00816882759265506,0,0.0578559216112947,0,0.059307470312149,0,0.132765704065985,0.0638057155524624,0.257758535614692,0.0819234059888943,0.030068209917477,0.00375875744606653,3.40843508083654e-05,0,0.0277612846738081,0.005,0.529569866878176,0.853186283000243
GSM4818591,0.00699997768196006,0,0.0250135302754662,0.0223272611103471,0,0.0793208694759059,0,0,0,0.0420317735503831,0.020195864597454,0,0,0,0.0194276478853788,0.18476159628312,0.188881620088542,0,0.203283513707049,0.0689030845121844,0.0283030884587529,0.110550172373457,0.0669999999999999,0.283599038713422,0.959210045762743
GSM4818592,0.0421729085726268,0,0.0289471310374463,0.106126608844838,0,0,0.0659943305119398,0,0,0.046867726257584,0,0.0477282573340786,0,0,0.0631644796121784,0.169314297437264,0.207199210811999,0.00314695416121496,0.198422019641893,0,0,0.0209160757769372,0.021,0.391469246440176,0.921325335915089
GSM4818593,0.0174905178937363,0,0,0.0386956197297648,0,0,0,0,0.00351071710411569,0.113037048022916,0,0.0027524799046149,0,0.223947009832605,0.00766875001242375,0.260259803672859,0,0,0.142003161742581,0.0877785948811432,0,0.10285629720324,0.0669999999999999,0.281241511605086,0.981985319228762
GSM4818594,0.0299650233798834,0,0,0.166904029839791,0,0,0.0443242015581598,0.0323577244555569,0,0.0907163331768078,0,0.0370038943149082,0,0,0.163789675244157,0.172439914945597,0.174371258698427,0,0.0142983477265814,0,0.0265575652499704,0.04727203141016,0,0.602793009788336,0.80537984893009
GSM4818595,0,0,0,0.0497030443336054,0.0233051056181939,0,0.181370832298807,0,0,0.0869896075170361,0,0.0336677480298625,0,0,0.0264840810256066,0.208526221676588,0.208099066439483,0.00307849931094453,0.0748742572354632,0,0,0.10390153651441,0.123,0.224832273355205,0.981428068514517
GSM4818596,0.0186497731194285,0,0.0727842594869371,0.0477720495267481,0,0,0.0261991921861304,0,0,0.102305105280251,0,0.0356293038185393,0,0.0526489643888971,0.0489255896185931,0.206506652716445,0.222716580136977,0,0.155513726610782,0,0.000257484980560159,0.0100913181297109,0.029,0.362566416178608,0.932002347692819
GSM4818597,0.0602109695807132,0,0.0237813419946524,0.134931596313953,0,0.000923707975129493,0.0442051458723017,0.061727543681932,0,0.0551185389896262,0,0.0276819678912388,0,0.0395181293944465,0.113861724272598,0.151616496727527,0.0996634399196954,0,0.106916612536015,0,0.021328844517845,0.0585139403323256,0.013,0.451065303741308,0.891702939255166
GSM4818598,0.0134164488249325,0,0.352760824772833,0.0469404023447377,0,0.0302819650325883,0,0,0.0348249782013598,0.0394381939351778,0,0,0,0.0914047587972806,0.012657654882146,0.12707576424832,0.0730279925148541,0,0,0.132222129615854,0.00583117243292294,0.040117714396993,0.00900000000000001,0.474972820994704,0.889062251903454
GSM4818599,0.00518168118522553,0,0.049376629740052,0.132478587412209,0,0.0728083498614985,0.113269080181293,0.0120939640574554,0,0,0.0409756859117199,0.00621237262430923,0.00306271157467459,0.00748450644775206,0.0876181621932104,0.0580933845793042,0.348086900996064,0,0.0606108628337811,0,0,0.00264712040145058,0.037,0.335305644521388,0.940273639885279
GSM4818600,0.0143219644920833,0,0.0311814888682039,0.248322927477958,0,0,0.139368674681445,0.0271196767224175,0,0.0537787328176175,0,0.0905731555229042,0,0,0.105510951376675,0.131680887495284,0.0755984572148094,0,0.0617338520822576,0,0.0130278909394973,0.00778134030884678,0.015,0.426750479464799,0.90712373130389
GSM4818601,0,0.000486706224760911,0.224190863055538,0.0354426065629612,0,0,0,0,0.0256601487386817,0.0269275144039039,0,0.00746351686145119,0,0.299025007570808,0.0124467208535038,0.069616946266113,0.0552337672535857,0,0.0165853807175839,0.142843700881669,0,0.0840771206094397,0.022,0.385895798913159,0.928643168736601
GSM4818602,0.0742912836999713,0,0.108709817471842,0.0264852272986076,0,0.0633843982424384,0.0973009333597844,0,0,0.116648577901121,0,0.013918687455719,0,0,0.0195391900301087,0.34580422536381,0,0.00211005920900292,0.0385592962208972,0.00486501986008642,0,0.0883832838866112,0.182,0.18755523405544,0.994500235135831
GSM4818603,0.0483195331623052,0,0,0.0936235236067703,0,0,0.0253885620484156,0,0.00382001073829854,0.0326091286552045,0,0.0286632740862556,0,0.10045616495308,0.0946024162288607,0.232862843550094,0.227903010549833,0,0,0,0.0583833345432548,0.0533681978776271,0.00600000000000001,0.502288208646947,0.868277787381573
GSM4818604,0.0032138058430438,0,0.23850189222765,0.10684197541634,0,0,0.073925805792438,0.0380721422599373,0.00401654893097697,0,0.0250039450484889,0.0152322196587842,0,0.0633564035814979,0.143674382730883,0.104511434279189,0.141113722684529,0.00661232704108687,0.030122878731174,0,0,0.00580051577398074,0.014,0.433720503396534,0.898900229415763
GSM4818605,0.0394509747375749,0,0,0.103855639294132,0,0,0.00413808786251901,0.0629796279195598,0,0.0538200314734973,0,0.0799154962871058,0,0.0353085594129395,0.0450352895902931,0.126271445196304,0.199240747873101,0.114137894837851,0.0866128322469361,0,0.00813138988068861,0.0411019833874983,0.031,0.347555632471372,0.936066515122346
GSM4818606,0.0373140343595499,0,0.0312238901687992,0.0359849502393831,0,0.000174531431257203,0.0743484573526893,0,0,0.133280617645897,0,0.0602545695745095,0.02834290353006,0.0498465430798681,0.104487515717237,0,0.121611697608102,0,0.256378148738243,0,0.061840320686787,0.00491181986761919,0.054,0.304140222616031,0.954359583187808
GSM4818607,0.0264480128537251,0,0.220669515494832,0.150686402631323,0,0.00633695824789896,0.0441039418308428,0.0804381943667791,0,0,0,0.125517135886725,0,0.0184860428549626,0.0598412170805207,0.0879334368145168,0,0,0,0.0740675799822002,0.0800394994540287,0.0254320625016445,0.003,0.560109634542028,0.831938612971074
